cell,source,width,value
fl_mod,ytbass,8,-3.803
fl_mod,ytbass,9,-3.640
fl_mod,ytbass,10,-3.363
fl_mod,ytbass,11,-3.047
fl_mod,ytbass,12,-2.901
fl_mod,ytbass,13,-1.904
fl_mod,ytbass,14,-3.837
fl_mod,ytbass,15,-3.101
fl_mod,ytbass,16,-1.969
fl_mod,ytbass,17,-1.575
fl_mod,ytbass,18,-1.246
fl_mod,ytbass,19,-0.796
fl_mod,ytbass,20,-0.337
fl_mod,ytbass,21,-0.028
fl_mod,ytbass,22,0.091
fl_mod,ytbass,23,0.127
fl_mod,ytbass,24,0.140
fl_mod,nam,8,-3.655
fl_mod,nam,9,-3.617
fl_mod,nam,10,-3.391
fl_mod,nam,11,-3.257
fl_mod,nam,12,-3.162
fl_mod,nam,13,-2.414
fl_mod,nam,14,-3.047
fl_mod,nam,15,-1.796
fl_mod,nam,16,-1.200
fl_mod,nam,17,-0.770
fl_mod,nam,18,-0.606
fl_mod,nam,19,-0.425
fl_mod,nam,20,-0.359
fl_mod,nam,21,-0.401
fl_mod,nam,22,-0.179
fl_mod,nam,23,0.078
fl_mod,nam,24,-0.004
